Date,Open,High,Low,Close,Volume,Symbol
2021-04-13,2825.35344676723,2825.35344676723,2701.4475879106244,2728.698974609375,8654596,TCS.NS
2021-04-13,872.4017415275625,879.9287521472845,869.6131669055775,875.9385375976562,19411189,RELIANCE.NS
2021-04-13,1261.4991628553278,1263.4798838018905,1210.4405784550424,1229.939697265625,14855206,INFY.NS
2021-04-13,523.2485286128166,545.3003956462012,520.2018638443274,542.2053833007812,25445897,ICICIBANK.NS
2021-04-15,547.3798090534764,557.8254228504287,535.9670077006499,556.3262939453125,37614884,ICICIBANK.NS
2021-04-15,873.4446725605377,889.1787320455074,867.4140446856474,881.6064453125,19723716,RELIANCE.NS
2021-04-15,2778.146574984524,2845.791494767581,2714.1057414674506,2829.704345703125,6062760,TCS.NS
2021-04-15,1172.850803933445,1202.869705317751,1162.0228210258588,1197.8958740234375,25342491,INFY.NS
2021-04-16,1201.6372462560596,1206.78709867639,1185.4393307483979,1191.733642578125,10879878,INFY.NS
2021-04-16,878.1149969863354,884.1456245317884,873.5126286216039,876.0745239257812,15656948,RELIANCE.NS
2021-04-16,2838.5393096103458,2854.362693807616,2797.7502273047353,2808.782470703125,3224657,TCS.NS
2021-04-16,555.7459340877606,558.7925984364795,545.5904649686207,548.3469848632812,24045008,ICICIBANK.NS
2021-04-19,2785.7951320593206,2803.3766728107203,2755.9945063330647,2779.4658203125,2679106,TCS.NS
2021-04-19,863.3330655330114,868.9556101628922,856.9850274045621,862.2901611328125,18478808,RELIANCE.NS
2021-04-19,1179.6292029840504,1214.577875938815,1172.8947311912377,1199.48046875,12508028,INFY.NS
2021-04-19,531.9531010111937,543.8494949182292,516.8650003045784,541.3831787109375,28526176,ICICIBANK.NS
2021-04-20,866.28045535031,870.1346024372397,857.189177823117,862.0408935546875,17203668,RELIANCE.NS
2021-04-20,1213.9617280860366,1213.9617280860366,1181.7420256855933,1189.620849609375,8560766,INFY.NS
2021-04-20,546.6543958688338,553.8599546697744,534.4677977473423,540.7545166015625,24425842,ICICIBANK.NS
2021-04-20,2835.0232125941484,2835.330975379309,2748.3023558299074,2764.301513671875,3141893,TCS.NS
2021-04-22,2767.3342876746483,2767.3342876746483,2729.753747395712,2741.665283203125,1988980,TCS.NS
2021-04-22,858.0053442180699,868.0715224771913,850.9544798546892,864.42138671875,14490954,RELIANCE.NS
2021-04-22,533.8876120659504,561.549156759285,528.9549783935395,560.1951293945312,34942633,ICICIBANK.NS
2021-04-22,1193.3182467166828,1201.4612096354417,1184.1628939428558,1189.4007568359375,6622446,INFY.NS
2021-04-23,551.2002486168636,561.45241378269,548.4437284785654,551.2485961914062,33749097,ICICIBANK.NS
2021-04-23,2729.533899862066,2741.8409770273056,2717.270819467524,2733.48974609375,1615309,TCS.NS
2021-04-23,864.2400438171045,870.0892682363567,859.4109960022909,863.4918823242188,11828857,RELIANCE.NS
2021-04-23,1182.2702913744486,1187.0240430032222,1171.7064466265012,1174.17138671875,7316262,INFY.NS
2021-04-26,2726.9411315193793,2771.7300663568353,2714.6340522523333,2725.84228515625,2490260,TCS.NS
2021-04-26,870.5879935892407,889.6321078230069,866.7337869207527,878.6817016601562,20846778,RELIANCE.NS
2021-04-26,1172.8068530955097,1189.5769997026998,1162.9032485938587,1182.7545166015625,7088606,INFY.NS
2021-04-26,582.2468965619786,585.6320529373389,568.7062710605372,571.7045288085938,62584522,ICICIBANK.NS
2021-04-27,573.7840448494992,582.198588792846,571.7045678923548,579.1035766601562,24239685,ICICIBANK.NS
2021-04-27,879.6566357896455,905.592879224886,878.8631384956852,901.716064453125,19992524,RELIANCE.NS
2021-04-27,1184.9108940127342,1191.0731349177038,1179.7610427486286,1187.1116943359375,3636115,INFY.NS
2021-04-27,2730.4132840873945,2756.873588817901,2727.7760529694733,2753.269287109375,1471417,TCS.NS
2021-04-28,578.3781688725504,602.3644088855251,578.3781688725504,600.9619750976562,33292864,ICICIBANK.NS
2021-04-28,905.8876517747103,910.4899602170952,897.861946907099,905.6382446289062,17122437,RELIANCE.NS
2021-04-28,2769.0482277580213,2769.9713014232066,2735.687302452878,2746.32421875,1639037,TCS.NS
2021-04-28,1195.4749961110342,1196.7954765927475,1183.6786823155342,1193.71435546875,4879234,INFY.NS
2021-04-29,2765.224258014511,2775.5534111245584,2729.9731900639367,2738.544189453125,1621395,TCS.NS
