Date,Symbol,Open,High,Low,Close,Volume
2026-01-13,AXISBANK.NS,1274.0,1284.0,1258.699951171875,1262.0,5163166
2026-01-14,AXISBANK.NS,1255.0,1308.0,1253.5,1298.800048828125,7776704
2026-01-15,AXISBANK.NS,1298.800048828125,1298.800048828125,1298.800048828125,1298.800048828125,0
2026-01-16,AXISBANK.NS,1298.800048828125,1309.0,1286.5,1294.199951171875,5175495
2026-01-19,AXISBANK.NS,1307.0,1327.0,1297.0999755859375,1307.5,8833223
2026-01-20,AXISBANK.NS,1306.0999755859375,1310.9000244140625,1290.0,1293.5,6268527
2026-01-21,AXISBANK.NS,1290.0,1297.699951171875,1267.4000244140625,1284.9000244140625,3854702
2026-01-22,AXISBANK.NS,1290.0,1298.9000244140625,1281.4000244140625,1294.800048828125,5949677
2026-01-23,AXISBANK.NS,1297.0,1299.0,1248.0,1258.0,8885549
2026-01-27,AXISBANK.NS,1288.800048828125,1333.199951171875,1278.4000244140625,1315.800048828125,22715357
2026-01-28,AXISBANK.NS,1348.0,1369.4000244140625,1310.199951171875,1319.800048828125,15426403
2026-01-29,AXISBANK.NS,1318.0,1367.0,1306.0,1363.699951171875,16107684
2026-01-30,AXISBANK.NS,1352.0,1378.699951171875,1352.0,1370.4000244140625,14758482
2026-02-02,AXISBANK.NS,1339.0,1352.699951171875,1302.9000244140625,1311.5,8647298
2026-02-03,AXISBANK.NS,1403.0,1418.300048828125,1345.5,1356.199951171875,10384723
2026-02-04,AXISBANK.NS,1369.699951171875,1369.9000244140625,1336.5999755859375,1338.699951171875,6672251
2026-02-05,AXISBANK.NS,1340.0,1340.0,1317.4000244140625,1330.5999755859375,3766488
2026-02-06,AXISBANK.NS,1325.0,1346.4000244140625,1324.699951171875,1341.5999755859375,5876574
2026-02-09,AXISBANK.NS,1350.0,1350.0,1330.699951171875,1341.4000244140625,4077536
2026-02-10,AXISBANK.NS,1352.5999755859375,1360.0999755859375,1343.300048828125,1356.699951171875,5478998
2026-02-11,AXISBANK.NS,1358.0,1360.0,1344.800048828125,1347.300048828125,3866272
2026-02-12,AXISBANK.NS,1347.9000244140625,1357.699951171875,1336.199951171875,1340.0,4152620
2026-02-13,AXISBANK.NS,1341.300048828125,1346.5,1316.0999755859375,1332.300048828125,4624549
2026-02-16,AXISBANK.NS,1324.0,1361.9000244140625,1324.0,1358.300048828125,5082167
2026-02-17,AXISBANK.NS,1358.300048828125,1360.9000244140625,1350.4000244140625,1357.199951171875,4513065
2026-02-18,AXISBANK.NS,1363.0,1378.5,1353.800048828125,1377.0,5556076
2026-02-19,AXISBANK.NS,1381.0999755859375,1382.800048828125,1351.0,1356.5999755859375,2744704
2026-02-20,AXISBANK.NS,1351.0,1376.5,1351.0,1368.300048828125,3791536
2026-02-23,AXISBANK.NS,1380.5,1402.0,1380.199951171875,1386.699951171875,6160153
2026-02-24,AXISBANK.NS,1398.0,1398.0,1383.5,1387.5999755859375,7888492
2026-02-25,AXISBANK.NS,1394.0,1404.300048828125,1387.5999755859375,1403.0,4379373
2026-02-26,AXISBANK.NS,1403.0,1405.699951171875,1386.0,1395.5,8979547
2026-02-27,AXISBANK.NS,1387.0,1395.5,1381.0,1383.9000244140625,5840317
2026-03-02,AXISBANK.NS,1369.0999755859375,1384.699951171875,1353.5999755859375,1372.300048828125,5132511
2026-03-04,AXISBANK.NS,1344.5,1357.5999755859375,1327.0,1351.300048828125,5832353
2026-03-05,AXISBANK.NS,1354.9000244140625,1355.800048828125,1335.300048828125,1349.0999755859375,6057499
2026-03-06,AXISBANK.NS,1347.0,1347.9000244140625,1313.5,1315.800048828125,11629935
2026-03-09,AXISBANK.NS,1282.199951171875,1291.0,1260.800048828125,1288.300048828125,7926265
2026-03-10,AXISBANK.NS,1295.199951171875,1319.5,1284.5999755859375,1314.699951171875,6289277
2026-03-11,AXISBANK.NS,1310.0,1317.5,1252.699951171875,1255.800048828125,6859908
2026-03-12,AXISBANK.NS,1243.199951171875,1251.0999755859375,1231.800048828125,1234.5,9663320
2026-03-13,AXISBANK.NS,1224.0,1234.5,1194.300048828125,1197.300048828125,9098187
2026-03-16,AXISBANK.NS,1199.199951171875,1219.9000244140625,1180.0999755859375,1214.699951171875,8743794
2026-03-17,AXISBANK.NS,1219.699951171875,1232.300048828125,1210.0,1228.0999755859375,5707317
2026-03-18,AXISBANK.NS,1228.0,1260.0,1224.199951171875,1253.199951171875,6018952
2026-03-19,AXISBANK.NS,1221.0,1241.5,1202.0,1207.0,8264698
2026-03-20,AXISBANK.NS,1208.5999755859375,1231.800048828125,1199.699951171875,1203.9000244140625,7518686
2026-03-23,AXISBANK.NS,1181.0,1185.0999755859375,1165.0,1170.5999755859375,6697446
2026-03-24,AXISBANK.NS,1187.0,1202.800048828125,1169.5999755859375,1192.699951171875,8274701
2026-03-25,AXISBANK.NS,1200.0,1239.0,1198.0,1222.0999755859375,9645791
2026-03-27,AXISBANK.NS,1209.5,1213.5,1202.0,1205.199951171875,9479301
2026-03-30,AXISBANK.NS,1185.0999755859375,1188.800048828125,1153.9000244140625,1161.300048828125,18534887
2026-04-01,AXISBANK.NS,1175.0,1208.0,1175.0,1193.0999755859375,6595695
2026-04-02,AXISBANK.NS,1174.5999755859375,1202.300048828125,1150.300048828125,1197.9000244140625,9501543
2026-04-06,AXISBANK.NS,1202.0999755859375,1249.800048828125,1196.4000244140625,1245.300048828125,7847086
2026-04-07,AXISBANK.NS,1237.800048828125,1255.5,1221.0,1250.0999755859375,9248545
2026-04-08,AXISBANK.NS,1300.0999755859375,1335.5999755859375,1300.0999755859375,1333.0,13519723
2026-04-09,AXISBANK.NS,1322.300048828125,1338.5999755859375,1312.800048828125,1318.5,6542529
2026-04-10,AXISBANK.NS,1328.800048828125,1358.5999755859375,1326.0999755859375,1350.800048828125,6755589
2026-04-13,AXISBANK.NS,1318.0,1363.0,1315.300048828125,1362.800048828125,5957325
