Date,Symbol,Open,High,Low,Close,Volume
2026-01-13,ACC.NS,1712.5999755859375,1729.5999755859375,1702.0,1707.300048828125,145199
2026-01-14,ACC.NS,1708.9000244140625,1729.0,1705.0,1728.0999755859375,102791
2026-01-15,ACC.NS,1728.0999755859375,1728.0999755859375,1728.0999755859375,1728.0999755859375,0
2026-01-16,ACC.NS,1729.9000244140625,1763.0,1712.5999755859375,1755.5999755859375,245388
2026-01-19,ACC.NS,1755.5,1755.5,1728.0,1733.699951171875,78984
2026-01-20,ACC.NS,1731.0999755859375,1743.4000244140625,1691.0999755859375,1696.800048828125,180990
2026-01-21,ACC.NS,1696.800048828125,1731.699951171875,1673.0999755859375,1716.699951171875,191606
2026-01-22,ACC.NS,1729.9000244140625,1738.0,1720.199951171875,1728.199951171875,93146
2026-01-23,ACC.NS,1728.199951171875,1729.0,1663.9000244140625,1669.0999755859375,291265
2026-01-27,ACC.NS,1699.0,1699.0,1668.800048828125,1687.9000244140625,160507
2026-01-28,ACC.NS,1688.0,1704.199951171875,1669.0999755859375,1684.300048828125,336420
2026-01-29,ACC.NS,1684.300048828125,1689.5,1668.0999755859375,1678.5,294451
2026-01-30,ACC.NS,1671.0,1679.0,1626.0999755859375,1636.9000244140625,227280
2026-02-02,ACC.NS,1620.800048828125,1645.5,1593.0,1636.0,192361
2026-02-03,ACC.NS,1667.699951171875,1688.4000244140625,1654.0999755859375,1668.9000244140625,243255
2026-02-04,ACC.NS,1668.9000244140625,1694.0,1656.0,1692.0999755859375,103704
2026-02-05,ACC.NS,1694.0,1694.0,1668.0,1676.199951171875,87906
2026-02-06,ACC.NS,1675.0,1689.5999755859375,1652.5,1667.4000244140625,124609
2026-02-09,ACC.NS,1671.9000244140625,1709.800048828125,1671.9000244140625,1706.0999755859375,131395
2026-02-10,ACC.NS,1710.0999755859375,1713.5,1689.0999755859375,1695.4000244140625,126437
2026-02-11,ACC.NS,1706.9000244140625,1706.9000244140625,1683.0,1698.0,92105
2026-02-12,ACC.NS,1703.9000244140625,1703.9000244140625,1665.5,1671.300048828125,117026
2026-02-13,ACC.NS,1667.9000244140625,1675.0,1632.0,1637.0999755859375,129132
2026-02-16,ACC.NS,1638.0,1648.9000244140625,1620.199951171875,1632.199951171875,146223
2026-02-17,ACC.NS,1633.0999755859375,1649.199951171875,1625.699951171875,1639.4000244140625,148310
2026-02-18,ACC.NS,1639.4000244140625,1648.800048828125,1630.0999755859375,1640.5999755859375,65970
2026-02-19,ACC.NS,1640.5999755859375,1646.800048828125,1611.0,1617.5999755859375,89225
2026-02-20,ACC.NS,1610.0,1625.800048828125,1602.0,1612.5999755859375,85754
2026-02-23,ACC.NS,1628.699951171875,1628.800048828125,1611.0,1618.800048828125,96024
2026-02-24,ACC.NS,1618.5,1624.4000244140625,1605.5999755859375,1619.0999755859375,87389
2026-02-25,ACC.NS,1620.199951171875,1631.5999755859375,1618.0,1623.9000244140625,99578
2026-02-26,ACC.NS,1628.0,1630.0,1610.0999755859375,1613.0999755859375,104053
2026-02-27,ACC.NS,1614.0,1617.199951171875,1585.0999755859375,1592.4000244140625,173456
2026-03-02,ACC.NS,1568.0,1576.0,1546.0999755859375,1553.199951171875,212450
2026-03-04,ACC.NS,1542.0,1545.5,1510.0,1529.699951171875,258447
2026-03-05,ACC.NS,1523.5999755859375,1528.4000244140625,1505.0999755859375,1523.5999755859375,165123
2026-03-06,ACC.NS,1514.0,1535.0,1499.0,1501.199951171875,259409
2026-03-09,ACC.NS,1476.0,1476.0,1435.699951171875,1450.5,239746
2026-03-10,ACC.NS,1463.300048828125,1482.199951171875,1447.199951171875,1474.0,212739
2026-03-11,ACC.NS,1481.0,1497.4000244140625,1452.699951171875,1456.4000244140625,205801
2026-03-12,ACC.NS,1455.699951171875,1455.699951171875,1425.199951171875,1433.4000244140625,258116
2026-03-13,ACC.NS,1430.0,1430.0999755859375,1360.0,1376.4000244140625,418777
2026-03-16,ACC.NS,1377.0,1386.0999755859375,1361.800048828125,1373.199951171875,278403
2026-03-17,ACC.NS,1380.0,1391.0999755859375,1368.5,1385.0,247661
2026-03-18,ACC.NS,1385.0999755859375,1409.5,1376.4000244140625,1405.199951171875,201573
2026-03-19,ACC.NS,1390.0,1396.5,1349.0999755859375,1352.9000244140625,294292
2026-03-20,ACC.NS,1362.0,1390.0,1358.5999755859375,1381.4000244140625,380815
2026-03-23,ACC.NS,1374.9000244140625,1374.9000244140625,1320.0,1329.800048828125,413599
2026-03-24,ACC.NS,1356.5,1357.9000244140625,1319.5,1334.300048828125,249566
2026-03-25,ACC.NS,1340.0,1383.300048828125,1340.0,1367.9000244140625,254138
2026-03-27,ACC.NS,1367.9000244140625,1367.9000244140625,1305.0,1314.4000244140625,480450
2026-03-30,ACC.NS,1305.0999755859375,1306.5,1251.699951171875,1254.5999755859375,496998
2026-04-01,ACC.NS,1280.0999755859375,1331.9000244140625,1280.0999755859375,1327.9000244140625,208873
2026-04-02,ACC.NS,1311.0,1329.0,1289.699951171875,1325.9000244140625,190185
2026-04-06,ACC.NS,1325.9000244140625,1369.9000244140625,1310.0999755859375,1362.0999755859375,148242
2026-04-07,ACC.NS,1357.9000244140625,1358.5999755859375,1333.0999755859375,1340.0,127358
2026-04-08,ACC.NS,1376.0,1451.0,1376.0,1411.0,312369
2026-04-09,ACC.NS,1409.800048828125,1409.800048828125,1380.0,1391.9000244140625,192918
2026-04-10,ACC.NS,1398.699951171875,1430.0,1395.5999755859375,1424.5999755859375,186253
2026-04-13,ACC.NS,1408.199951171875,1408.199951171875,1367.0999755859375,1407.0,212274
