Date,Symbol,Open,High,Low,Close,Volume
2026-01-13,ALKEM.NS,5859.7615039012535,5886.049582427304,5767.009226837639,5816.609375,183102
2026-01-14,ALKEM.NS,5840.913214990138,5841.409216452009,5732.288894840441,5783.873046875,89063
2026-01-16,ALKEM.NS,5789.329193839416,5832.481321997746,5750.14507746576,5789.8251953125,120335
2026-01-19,ALKEM.NS,5788.337463506328,5797.761491938772,5653.4250564734475,5702.033203125,128572
2026-01-20,ALKEM.NS,5699.057002194684,5738.737120573759,5625.152781713657,5674.7529296875,160200
2026-01-21,ALKEM.NS,5635.072719075261,5722.864979552009,5541.824442410694,5611.2646484375,76707
2026-01-22,ALKEM.NS,5635.07298551869,5738.24129649377,5609.776909269992,5712.44921875,246944
2026-01-23,ALKEM.NS,5738.737286686348,5765.0253658734155,5678.225104406682,5704.51318359375,77302
2026-01-27,ALKEM.NS,5766.01703472754,5766.01703472754,5661.360725538077,5707.98486328125,99479
2026-01-28,ALKEM.NS,5702.528892811067,5743.201013295585,5605.312604823681,5676.73681640625,168889
2026-01-29,ALKEM.NS,5704.017098305127,5704.017098305127,5568.608692406231,5667.31298828125,64418
2026-01-30,ALKEM.NS,5644.496716410722,5704.016892682189,5594.896569517834,5632.0966796875,160841
2026-02-02,ALKEM.NS,5571.088516198044,5571.088516198044,5362.767898605168,5477.34423828125,129255
2026-02-03,ALKEM.NS,5668.305006884317,5701.041105103985,5582.992750917909,5656.89697265625,175751
2026-02-04,ALKEM.NS,5632.592646044762,5682.192792628461,5589.936519982782,5608.28857421875,78850
2026-02-05,ALKEM.NS,5605.312761278974,5653.4249051462475,5539.840565500828,5617.216796875,108123
2026-02-06,ALKEM.NS,5637.5529188978935,5660.368987371349,5524.464579507719,5638.544921875,52719
2026-02-09,ALKEM.NS,5653.921031195996,5753.6173315092165,5624.656943044355,5704.51318359375,227955
2026-02-10,ALKEM.NS,5704.017206589306,5786.353454962681,5687.15315571765,5765.025390625,84505
2026-02-11,ALKEM.NS,5793.297312712224,5867.697535050138,5699.0570310842,5842.8974609375,78718
2026-02-12,ALKEM.NS,5846.865291599683,5858.76932680484,5763.537045163583,5823.55322265625,70024
2026-02-13,ALKEM.NS,5803.217215337228,5803.217215337228,5288.863689499219,5359.2958984375,605115
2026-02-16,ALKEM.NS,5387.568215487723,5492.720531974871,5321.104015443961,5436.67236328125,132794
2026-02-17,ALKEM.NS,5456.016387422111,5465.936417217424,5372.192135651717,5412.8642578125,74670
2026-02-18,ALKEM.NS,5416.336187359878,5439.648257030749,5358.304013923879,5420.30419921875,83592
2026-02-19,ALKEM.NS,5472.880416589176,5472.880416589176,5307.71192114562,5334.0,190955
2026-02-20,ALKEM.NS,5330.0,5401.5,5328.5,5392.0,66662
2026-02-23,ALKEM.NS,5415.0,5504.0,5395.5,5490.5,139365
2026-02-24,ALKEM.NS,5500.0,5508.5,5448.0,5495.5,119453
2026-02-25,ALKEM.NS,5508.5,5655.0,5468.0,5625.0,231439
2026-02-26,ALKEM.NS,5635.0,5764.5,5622.5,5752.0,84228
2026-02-27,ALKEM.NS,5752.0,5781.5,5614.0,5639.5,131566
2026-03-02,ALKEM.NS,5415.0,5619.5,5415.0,5566.0,54260
2026-03-04,ALKEM.NS,5489.5,5536.0,5432.0,5466.5,87647
2026-03-05,ALKEM.NS,5476.5,5573.5,5454.0,5550.0,96348
2026-03-06,ALKEM.NS,5580.0,5583.0,5497.0,5530.0,41269
2026-03-09,ALKEM.NS,5500.0,5518.5,5421.0,5460.0,41694
2026-03-10,ALKEM.NS,5509.5,5664.5,5500.0,5616.5,127594
2026-03-11,ALKEM.NS,5662.0,5665.0,5514.5,5544.5,147779
2026-03-12,ALKEM.NS,5515.5,5528.0,5400.0,5444.0,121868
2026-03-13,ALKEM.NS,5422.0,5471.5,5335.5,5355.5,103318
2026-03-16,ALKEM.NS,5393.0,5407.0,5233.0,5323.0,204293
2026-03-17,ALKEM.NS,5317.0,5350.0,5285.0,5333.5,127237
2026-03-18,ALKEM.NS,5335.0,5423.0,5315.0,5351.5,65448
2026-03-19,ALKEM.NS,5309.0,5336.0,5222.5,5240.0,60008
2026-03-20,ALKEM.NS,5245.0,5298.5,5211.0,5257.5,325586
2026-03-23,ALKEM.NS,5260.0,5272.5,5111.5,5144.5,110544
2026-03-24,ALKEM.NS,5200.0,5304.5,5160.5,5297.0,79204
2026-03-25,ALKEM.NS,5355.0,5464.0,5311.5,5435.5,61346
2026-03-27,ALKEM.NS,5401.0,5419.5,5259.0,5344.5,145051
2026-03-30,ALKEM.NS,5291.0,5345.5,5252.0,5299.0,182729
2026-04-01,ALKEM.NS,5320.5,5454.0,5210.0,5244.5,119101
2026-04-02,ALKEM.NS,5210.5,5276.5,5075.0,5258.0,70183
2026-04-06,ALKEM.NS,5273.5,5305.5,5155.0,5236.5,81489
2026-04-07,ALKEM.NS,5236.5,5246.5,5142.0,5172.5,136756
2026-04-08,ALKEM.NS,5278.0,5295.5,5214.5,5246.0,145626
2026-04-09,ALKEM.NS,5269.0,5386.5,5181.5,5370.5,128017
2026-04-10,ALKEM.NS,5390.0,5451.5,5353.5,5440.0,80490
2026-04-13,ALKEM.NS,5380.0,5432.0,5308.5,5377.5,72101
