Date,Symbol,Open,High,Low,Close,Volume
2026-01-13,ADANIPORTS.NS,1443.5,1449.0,1420.0,1428.5999755859375,919873
2026-01-14,ADANIPORTS.NS,1429.0,1438.9000244140625,1423.0,1430.0,1278819
2026-01-15,ADANIPORTS.NS,1430.0,1430.0,1430.0,1430.0,0
2026-01-16,ADANIPORTS.NS,1430.0,1448.0,1416.0999755859375,1421.9000244140625,1556318
2026-01-19,ADANIPORTS.NS,1421.0,1421.0,1395.5999755859375,1403.0,1130162
2026-01-20,ADANIPORTS.NS,1409.0,1412.9000244140625,1359.5999755859375,1367.5999755859375,1799611
2026-01-21,ADANIPORTS.NS,1371.699951171875,1390.4000244140625,1345.0,1378.5999755859375,2141532
2026-01-22,ADANIPORTS.NS,1400.0,1421.699951171875,1388.5,1414.199951171875,1689638
2026-01-23,ADANIPORTS.NS,1417.0,1417.0,1292.0,1308.4000244140625,6380222
2026-01-27,ADANIPORTS.NS,1334.300048828125,1368.300048828125,1322.0,1363.9000244140625,3838632
2026-01-28,ADANIPORTS.NS,1373.9000244140625,1384.300048828125,1363.699951171875,1381.9000244140625,2938285
2026-01-29,ADANIPORTS.NS,1384.9000244140625,1429.0,1371.5999755859375,1417.800048828125,3918681
2026-01-30,ADANIPORTS.NS,1417.800048828125,1428.5,1407.0,1419.800048828125,2227414
2026-02-02,ADANIPORTS.NS,1348.0,1406.0,1348.0,1403.0999755859375,2796673
2026-02-03,ADANIPORTS.NS,1477.199951171875,1537.0,1477.199951171875,1530.800048828125,11977119
2026-02-04,ADANIPORTS.NS,1529.9000244140625,1572.300048828125,1508.5,1567.9000244140625,6632728
2026-02-05,ADANIPORTS.NS,1568.0,1577.699951171875,1548.5999755859375,1570.199951171875,3285127
2026-02-06,ADANIPORTS.NS,1563.0,1575.5,1527.0,1550.699951171875,4429173
2026-02-09,ADANIPORTS.NS,1575.9000244140625,1583.9000244140625,1554.5,1561.699951171875,1761025
2026-02-10,ADANIPORTS.NS,1565.0,1568.0,1525.0,1554.699951171875,1643366
2026-02-11,ADANIPORTS.NS,1554.699951171875,1559.4000244140625,1539.199951171875,1553.4000244140625,1359416
2026-02-12,ADANIPORTS.NS,1542.0999755859375,1551.0,1532.5,1543.699951171875,1107584
2026-02-13,ADANIPORTS.NS,1543.0,1543.0,1507.0,1519.0,1838361
2026-02-16,ADANIPORTS.NS,1517.5,1545.5,1495.300048828125,1540.0999755859375,1644108
2026-02-17,ADANIPORTS.NS,1545.0,1576.5,1535.699951171875,1566.300048828125,3168457
2026-02-18,ADANIPORTS.NS,1565.0,1565.0,1540.0,1550.800048828125,1326139
2026-02-19,ADANIPORTS.NS,1550.0,1550.800048828125,1506.699951171875,1513.300048828125,984392
2026-02-20,ADANIPORTS.NS,1513.300048828125,1529.199951171875,1505.199951171875,1511.5,1126987
2026-02-23,ADANIPORTS.NS,1511.0,1564.5,1510.800048828125,1555.800048828125,3113728
2026-02-24,ADANIPORTS.NS,1553.699951171875,1564.0,1536.4000244140625,1555.4000244140625,1360612
